one-hot__Sex_Male,one-hot__Where_do_you_climb_Indoor Climbing only,one-hot__Where_do_you_climb_Indoor and outdoor climbing,one-hot__Where_do_you_climb_Outdoor Climbing only,Timestamp,Height_(cm),Weight_(KG),Arm_Span_(cm),How_long_have_you_been_climbing_for,Hardest_V_Grade_ever_climbed_,Hardest_V_Grade_climbed_in_the_Last_3_months,The_V_grade_you_can_send_90-100%_of_routes_,Hardest_Route_grade_climbed_(Ewbank_grade)_,Hardest_route_climbed_last_3_months_(ewbank),Route_grade_you_can_send_90-100%_of_climbs,Frequency_of_climbing_sessions_per_week,Average_hours_climbing_per_week_(not_including_training),Average_hours_Training_for_climbing_per_week_,Hangboard_Frequency_per_week_,Max_Weight_hangboard_18mm_edge_-_Half_crimp_(KG)__(10_seconds)_(added_weight_only),Max_Weight_hangboard_18mm_edge_-_open_crimp_(KG)_(10_seconds)__(added_weight_only),"Min_Edge_used_(mm,_+kg_if_weight_added_)_-_Half_Crimp_(10_seconds)","Min_Edge_used_(mm,_+kg_if_weight_added)_-_Open_crimp_(10_seconds)_",Campus_Board_frequency_per_week_,Campus_Board_time_per_week_(hours),Frequency_of_Endurance_training_sesions_per_week,General_Strength_Training_frequency_per_week_,Time_spent_General_strength_training_(hours),"Other_activities_(ie_yoga,_cardio)",Max_pull_up_reps,5_rep_max_weighted_pull_ups,max_push_ups_reps,max_L-sit_time_,Back 2,Back 3,Front 2,Front 3,Full Crimp,Half Crimp,I don't Hangboard,Middle 2,Monos,Open Crimp,Pinch,Slopers,"""no hangs""",I don't hangboard,Max weight,Min Edge,One arm hang program,Other protocol,Repeaters,,4x4,ARC,Feet on 'campusing',I don't train for endurance,Laps of routes,Max moves,hangboard repeater protocols,other,route climbing intervals,systems boards,threshold intervals,Antagonists,Core,Legs,No other strength training,Upper body pulling,Upper body pushing
1.0,1.0,0.0,0.0,1485733026000000000,178.0,81.6,178.0,5.0,7.0,7.0,5.0,25.0,23.0,21.0,2,4,0,1,0.0,0,?,?,0,0,2,3,3,HIIT Running,7,,30.0,,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485733354000000000,175.0,60.0,180.0,5.0,8.0,8.0,8.0,30.0,29.0,28.0,2,6,0,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1.0,0.0,0.0,1485733615000000000,168.0,54.0,170.0,1.0,6.0,6.0,4.0,25.0,25.0,22.0,4,8,8,2,,,,,0,0,1,4,2,"Cardio, skiing, mountainhiking",12,,30.0,,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
0.0,0.0,1.0,0.0,1485735816000000000,157.5,50.8,158.0,2.0,4.0,3.0,2.0,23.0,23.0,19.0,2,4,1,0,,,,,0,0,1,2,2,Running,3,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485735892000000000,163.0,65.0,165.0,5.0,11.0,9.0,7.0,,,,4,12,4,1,60.0,50,6,6,2,1,0,0,0,,35,65.0,120.0,,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,1485736209000000000,174.0,70.0,178.0,1.0,3.0,,2.0,22.0,20.0,20.0,0,1,0,0,,,,,0,0,0,2,2,,10,,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485736218000000000,188.0,100.0,195.6,3.0,9.0,7.0,5.0,25.0,23.0,22.0,4,10,3,2,22.0,23,"14mm, can hang 8mm less than 10. No steps between",14mm,0,0,1,3,1,Mountain biking,>20,85.0,40.0,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
0.0,1.0,0.0,0.0,1485736304000000000,164.0,53.0,170.0,2.0,6.0,6.0,4.0,,,,3,6,3,0,,,,,0,0,0,3,3,,11,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1.0,0.0,1.0,0.0,1485736702000000000,176.0,60.0,177.0,2.0,7.0,7.0,5.0,25.0,24.0,23.0,3,8,2,1,,-,-,-,0,0,0,1,1,Calisthenics (or is this strength training?),10,,30.0,30.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1.0,1.0,0.0,0.0,1485737114000000000,175.0,63.5,180.0,3.0,10.0,10.0,8.0,,,,3,9,3,3,50.0,,6,,0,0,0,3,2,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
1.0,0.0,1.0,0.0,1485737413000000000,190.0,82.0,197.0,2.0,6.0,5.0,4.0,24.0,21.0,20.0,3,4,2,2,10.0,0,18,18,0,0,2,2,2,,10,15.0,30.0,5.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485737713000000000,177.0,66.0,178.0,7.0,7.0,7.0,6.0,29.0,28.0,26.0,3,8,1,0,0.0,0,10mm,10,0,0,1,1,1,,20,0.0,40.0,20.0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485738386000000000,179.0,69.0,178.0,12.0,10.0,7.0,8.0,31.0,,21.0,3,5,7,3,14.0,16,10,10,2,1,0,3,5,"Running, bike",12,10.0,20.0,5.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485738602000000000,185.4,82.0,186.0,4.0,7.0,6.0,5.0,28.0,26.0,24.0,3,4,2,2,,,,,0,0,1,1,1,mobility,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
0.0,0.0,1.0,0.0,1485739040000000000,165.1,53.0,165.1,3.0,3.0,3.0,1.0,22.0,21.0,21.0,5,10,3,1,,,,,0,0,0,3,2,,5,0.0,11.0,,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
0.0,0.0,1.0,0.0,1485739117000000000,157.0,47.0,155.0,8.0,,,3.0,27.0,27.0,24.0,4,6,6,0,,,,,3,4,1,2,1,Running 10-15 miles/week,,26.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1.0,1.0,0.0,0.0,1485739191000000000,180.0,79.5,185.0,0.0,4.0,4.0,3.0,,,,3,6,3,0,,,,,0,0,2,2,2,,18,30.0,50.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
1.0,0.0,1.0,0.0,1485739772000000000,186.0,73.0,190.0,2.0,5.0,5.0,3.0,23.0,23.0,20.0,2,6,1,0,,,,,0,0,1,1,1,,12,,10.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1.0,0.0,1.0,0.0,1485740265000000000,183.0,100.0,185.0,2.0,6.0,5.0,4.0,25.0,24.0,22.0,2,4,0,0,,,,,0,0,0,2,2,Running,12,25.0,70.0,,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1
1.0,0.0,1.0,0.0,1485740687000000000,167.0,60.0,179.0,3.0,9.0,9.0,4.0,22.0,20.0,16.0,3,6,3,3,30.0,,8,,0,0,0,2,2,,13,35.0,22.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1.0,0.0,1.0,0.0,1485741402000000000,173.0,86.0,173.0,1.0,6.0,4.0,4.0,23.0,22.0,22.0,3,4,4,2,30.0,35,16,14,2,2,2,4,8,"Strongman, crossfit, yoga.",32,65.0,,26.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485741950000000000,182.0,72.0,182.0,15.0,11.0,10.0,9.0,31.0,,,3,4,2,3,62.0,62,,"6mm, 5kg",1,1,1,2,1,,25,55.0,25.0,20.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485742181000000000,170.0,64.0,165.0,5.0,6.0,6.0,5.0,25.0,25.0,23.0,1,3,3,0,,,,,0,0,0,0,0,Soccer,16,,115.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,0.0,0.0,1485742320000000000,182.0,76.0,180.0,4.0,6.0,6.0,4.0,26.0,24.0,20.0,1,3,3,1,,,,,0,0,0,1,2,,10,,20.0,30.0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1.0,0.0,1.0,0.0,1485742663000000000,175.0,177.0,168.0,3.0,9.0,8.0,7.0,27.0,,23.0,2,5,3,0,,30,,,0,0,0,3,6,,25,35.0,,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,1.0,0.0,0.0,1485742944000000000,178.0,70.3,178.0,0.0,4.0,4.0,2.0,17.0,17.0,17.0,3,5,3,0,,,,,0,0,0,3,3,,18,50.0,40.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
1.0,0.0,1.0,0.0,1485743278000000000,183.0,80.0,187.0,1.0,4.0,4.0,3.0,20.0,20.0,20.0,3,6,0,0,,,,,0,0,0,2,4,,10,,50.0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485743343000000000,175.0,85.0,180.0,3.0,8.0,7.0,5.0,25.0,22.0,21.0,4,8,3,2,,,,,1,1,2,3,4,running,,,,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
1.0,0.0,1.0,0.0,1485743647000000000,182.0,73.0,184.0,14.0,8.0,8.0,6.0,,,,3,2,5,2,,50,,6,0,0,0,5,3,,15,35.0,,20.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485743889000000000,173.0,58.0,173.0,1.0,8.0,8.0,6.0,,,,2,5,2,2,25.0,,,,0,0,2,2,2,,,20.0,40.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1.0,0.0,1.0,0.0,1485744027000000000,,172.0,184.0,8.0,11.0,10.0,8.0,29.0,26.0,28.0,3,7,5,3,50.0,55,"5mm, 1KG",,2,1,0,3,2,,13,,20.0,20.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485744567000000000,193.0,79.0,193.0,2.0,8.0,8.0,5.0,25.0,25.0,24.0,3,7,6,3,,,,,0,0,0,3,6,,20,,30.0,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
1.0,0.0,1.0,0.0,1485746006000000000,174.0,65.0,176.0,1.0,5.0,5.0,3.0,22.0,22.0,20.0,3,8,1,0,,,,,0,0,0,1,1,Cycling ,15,,40.0,130.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485746545000000000,186.0,72.5,190.0,2.0,8.0,8.0,5.0,27.0,27.0,24.0,4,8,8,3,,,,,0,0,3,3,6,,20,30.0,15.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485748610000000000,188.0,73.0,189.0,0.0,,,,17.0,17.0,15.0,1,3,8,0,,,,,0,0,2,2,4,Cardio 2 times a week for 45 min. ,16,,105.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
0.0,0.0,1.0,0.0,1485748716000000000,172.72,79.3787,,2.0,3.0,3.0,2.0,22.0,22.0,21.0,4,10,2,0,,,,,1,1,1,2,3,"Yoga, pilates, running",1,0.0,10.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1
1.0,0.0,1.0,0.0,1485748734000000000,182.0,79.0,184.0,2.0,6.0,5.0,4.0,22.0,22.0,20.0,3,10,1,0,5.0,2,,,0,0,0,3,7,"running, football(soccer)",12,15.0,50.0,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
1.0,1.0,0.0,0.0,1485749366000000000,178.0,74.0,170.0,5.0,5.0,5.0,4.0,21.0,21.0,19.0,4,10,0,0,,,,,0,0,1,3,3,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1.0,0.0,1.0,0.0,1485749541000000000,170.0,59.0,172.0,2.0,8.0,8.0,5.0,,,,5,17,3,1,,,10,10,1,1,2,2,2,Cycling,20,90.0,,,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1
0.0,0.0,1.0,0.0,1485749756000000000,168.0,69.0,165.0,4.0,6.0,5.0,4.0,25.0,22.0,20.0,4,8,1,0,,,,,0,0,1,1,2,"Yoga 1xweek, light cardio 2xweek",6,0.0,30.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
1.0,0.0,1.0,0.0,1485749866000000000,185.0,79.0,185.0,2.0,6.0,6.0,5.0,27.0,26.0,23.0,5,12,2,2,,80,,9,1,1,0,2,1,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1.0,1.0,0.0,0.0,1485749912000000000,195.0,85.0,,1.0,5.0,5.0,3.0,,,,3,5,2,0,,,,,1,1,1,1,1,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
1.0,1.0,0.0,0.0,1485749912000000000,176.0,63.5,175.0,2.0,9.0,9.0,7.0,29.0,28.0,27.0,3,8,4,3,,,6,,0,0,0,4,4,"Jogging, stretching, mobility on off days",,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
0.0,0.0,1.0,0.0,1485749932000000000,165.0,56.0,165.0,3.0,6.0,6.0,4.0,23.0,22.0,20.0,3,9,2,1,,,,,1,1,0,2,4,,,,,,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485750893000000000,178.0,72.0,180.0,10.0,9.0,8.0,6.0,29.0,26.0,26.0,4,7,6,3,13.0,32,8mm,9mm,0,0,1,2,1,,18,32.0,,60.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1.0,0.0,1.0,0.0,1485751148000000000,185.0,73.0,187.0,6.0,11.0,10.0,9.0,32.0,32.0,30.0,5,10,6,2,53.0,,,,0,0,0,2,1,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
1.0,0.0,1.0,0.0,1485751662000000000,182.8,76.0,189.0,15.0,8.0,6.0,4.0,29.0,26.0,24.0,2,4,8,3,38.0,50 kg,"13 mm, 9 kg","13mm, 22.7 kg",1,1,1,1,1,"indoor soccer/futball,  5 hours per week",12?  I don't work on bodyweight pullups for reps.,10.0,20.0,8.0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1
1.0,0.0,1.0,0.0,1485751855000000000,178.0,72.0,178.0,1.0,8.0,6.0,5.0,24.0,24.0,21.0,3,10,3,1,,,,,0,0,1,3,2,Yoga daily ,10,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485752947000000000,180.0,86.0,177.0,5.0,7.0,7.0,5.0,32.0,32.0,27.0,3,9,2,1,0.0,0,0,0,1,1,1,0,0,"Cycling, Hiking, Kayaking ",45,,112.0,24.0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,1485752967000000000,174.0,75.0,180.0,11.0,6.0,6.0,4.0,28.0,26.0,25.0,3,8,0,2,,,,,0,0,1,0,0,,20,20.0,25.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,1485752981000000000,178.0,59.0,183.0,2.0,8.0,7.0,6.0,25.0,24.0,22.0,3,6,3,2,10.0,10,15,15,2,2,1,2,1,Cycling,12,150.0,30.0,,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1.0,1.0,0.0,0.0,1485753348000000000,175.0,73.0,183.0,0.0,2.0,2.0,2.0,,,,2,4,2,0,,,,,0,0,2,2,2,running,12,,33.0,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485753523000000000,178.0,70.0,195.0,14.0,13.0,13.0,11.0,33.0,,31.0,4,12,4,2,56.0,66,,,1,1,1,3,3,,25,,40.0,45.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1
0.0,0.0,1.0,0.0,1485754252000000000,170.0,59.0,173.0,1.0,,,,23.0,23.0,21.0,4,7,12,0,,,,,0,0,2,2,2,"running, hiking",3,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485754709000000000,177.0,70.0,185.5,5.0,7.0,7.0,6.0,26.0,26.0,25.0,4,7,1,1,,17,,,0,0,1,4,3,"Sauna, ice baths, slackining",,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1
1.0,0.0,1.0,0.0,1485754950000000000,178.0,75.0,180.0,5.0,7.0,7.0,5.0,21.0,,19.0,4,5,5,1,0.0,-20,,,0,0,1,4,3,,12,45.0,45.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1
0.0,1.0,0.0,0.0,1485755038000000000,165.0,65.0,163.0,4.0,4.0,3.0,2.0,21.0,21.0,19.0,4,9,0,0,0.0,0,0,0,0,0,1,0,0,,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,1.0,0.0,1485755376000000000,174.0,73.0,179.0,4.0,7.0,7.0,5.0,27.0,26.0,24.0,3,5,2,2,29.0,unknown,unknown,unknown,0,0,0,1,1,,15,40.0,35.0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.0,0.0,1.0,0.0,1485755487000000000,180.0,65.77,185.0,8.0,11.0,11.0,8.0,,,,4,5,10,2,75.0,70,,,0,0,0,2,4,,30,50.0,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
